"ElectID","Applicable_Spec","Standard","ActiveStatus","CreatedDate"
"13652","IEC-62353","ALTERNATIVE","True","10/24/2016 5:51:46 PM"
"13653","IEC-62353","ALTERNATIVE","True","10/28/2016 11:30:00 AM"
"13654","IEC-62353","ALTERNATIVE","True","10/28/2016 11:32:24 AM"
"13655","IEC-62353","ALTERNATIVE","True","10/28/2016 11:36:27 AM"
"13656","IEC-62353","ALTERNATIVE","True","10/28/2016 2:12:37 PM"
"13657","IEC-62353","ALTERNATIVE","True","10/28/2016 2:14:40 PM"
"13658","IEC-62353","ALTERNATIVE","True","10/28/2016 2:58:58 PM"
"13659","IEC-62353","ALTERNATIVE","True","10/28/2016 3:06:02 PM"
"13660","IEC-62353","ALTERNATIVE","True","10/28/2016 3:08:47 PM"
"13661","IEC-62353","ALTERNATIVE","True","10/28/2016 3:11:02 PM"
"13662","IEC-62353","ALTERNATIVE","True","10/28/2016 3:13:09 PM"
"13663","IEC-62353","ALTERNATIVE","True","10/28/2016 3:17:03 PM"
"13664","IEC-62353","ALTERNATIVE","True","10/28/2016 4:01:33 PM"
"13665","IEC-62353","ALTERNATIVE","True","10/28/2016 4:22:31 PM"
"13666","IEC-62353","ALTERNATIVE","True","10/28/2016 4:32:06 PM"
"13667","IEC-62353","ALTERNATIVE","True","10/28/2016 4:39:17 PM"
"13668","IEC-62353","ALTERNATIVE","True","10/28/2016 4:46:14 PM"
"13669","IEC-62353","ALTERNATIVE","True","10/28/2016 4:57:04 PM"
"13670","IEC-62353","ALTERNATIVE","True","10/28/2016 5:06:29 PM"
"13671","IEC-62353","ALTERNATIVE","True","10/29/2016 10:22:10 AM"
"13672","IEC-62353","ALTERNATIVE","True","10/29/2016 10:31:32 AM"
"13673","IEC-62353","ALTERNATIVE","True","10/29/2016 10:33:11 AM"
"13674","IEC-62353","ALTERNATIVE","True","10/29/2016 10:44:36 AM"
"13675","IEC-62353","ALTERNATIVE","True","10/29/2016 11:09:18 AM"
"13676","IEC-62353","ALTERNATIVE","True","10/29/2016 11:23:53 AM"
"13677","IEC-62353","ALTERNATIVE","True","10/29/2016 11:28:56 AM"
"13678","IEC-62353","ALTERNATIVE","True","10/29/2016 11:34:54 AM"
"13679","IEC-62353","ALTERNATIVE","True","10/29/2016 11:38:25 AM"
"13680","IEC-62353","ALTERNATIVE","True","10/29/2016 11:56:20 AM"
"13681","IEC-62353","ALTERNATIVE","True","10/29/2016 11:59:07 AM"
"13682","IEC-62353","ALTERNATIVE","True","10/29/2016 12:01:52 PM"
"13683","IEC-62353","ALTERNATIVE","True","10/29/2016 12:08:05 PM"
"13684","IEC-62353","ALTERNATIVE","True","10/29/2016 12:11:10 PM"
"13685","IEC-62353","ALTERNATIVE","True","10/29/2016 12:18:21 PM"
"13686","IEC-62353","ALTERNATIVE","True","10/29/2016 12:37:28 PM"
"13687","IEC-62353","ALTERNATIVE","True","10/29/2016 12:39:03 PM"
"13688","IEC-62353","ALTERNATIVE","True","10/29/2016 12:42:59 PM"
"13689","IEC-62353","ALTERNATIVE","True","10/29/2016 12:49:57 PM"
"13690","IEC-62353","ALTERNATIVE","True","10/29/2016 12:51:28 PM"
"13691","IEC-62353","ALTERNATIVE","True","10/29/2016 12:54:06 PM"
"13692","IEC-62353","ALTERNATIVE","True","10/29/2016 12:56:39 PM"
"13693","IEC-62353","ALTERNATIVE","True","10/29/2016 12:58:49 PM"
"13694","IEC-62353","ALTERNATIVE","True","10/29/2016 1:17:37 PM"
"13695","IEC-62353","ALTERNATIVE","True","10/29/2016 1:20:35 PM"
"13696","IEC-62353","ALTERNATIVE","True","10/29/2016 1:25:05 PM"
"13697","IEC-62353","ALTERNATIVE","True","10/29/2016 1:32:10 PM"
"13698","IEC-62353","ALTERNATIVE","True","10/29/2016 1:37:55 PM"
"13699","IEC-62353","ALTERNATIVE","True","10/29/2016 1:40:41 PM"
"13700","IEC-62353","ALTERNATIVE","True","10/29/2016 1:42:52 PM"
"13701","IEC-62353","ALTERNATIVE","True","10/29/2016 1:45:00 PM"
"13702","IEC-62353","ALTERNATIVE","True","10/29/2016 1:46:38 PM"
"13703","IEC-62353","ALTERNATIVE","True","10/29/2016 1:48:28 PM"
"13704","IEC-62353","ALTERNATIVE","True","10/29/2016 1:50:53 PM"
